name, dam, sire, sex, year
A Blackstone Westwyn Baby,Westwyn Dindael Mercedes,Luray Blackstones Treat CDX NA NAJ, Female, 1990 
A Blue Day Pleasure from The Small Hill Rebels,Bonnie from the Stone of Scone,Blåtirans Gandalf The Gray, Male, 2013 
A Country Penny Saved,Silver Creek's Bit O' Honey,Silver Creek Imp Of Rhydowen, Female, 1981 
A Countrys Autumn Dancer,A Country Penny Saved,Agawop Karaway Coriander, Female, 1983 
A Gardner's Delight,Twinroc Steel Magnolia HSAs,Davenitch Peer of Pluperfect ROMg, Female, 1993 
A Lone Star Angus CD,Sisterwood's Angel 'N Disguise,Windshyre's Personna, Male, 2000 
A Solar Flare for Lily Crown,Kherders Madrai Brusnika,Aethwy Ultramarine, Female, 2017 
A Summers Touch Of Daisy,Adams Acres Holiday Charm AM CD ROMb,Ula Mauna's Sir Gawaine, Female, 1999 
A Twelve-Point Riff,Sisterwood's Happy Angel Wings ROMb,Sisterwood's Magic Moment, Male, 1991 
Åaleasbrindleyobplet,Sankt-Cardis Alea,Lesley v.d. Besthmerberg, Male, 1980 
Åbolitionofxanthippes,Sankt-Cardis Alea,Lesley v.d. Besthmerberg, Female, 1980 
Ågirlleassoftredsphinx,Sankt-Cardis Alea,Lesley v.d. Besthmerberg, Female, 1980 
Åhsmokysniffylemonsqueezer,Sankt-Cardis Alea,Lesley v.d. Besthmerberg, Male, 1980 
Årsharpasyataganscoobydoo,Sankt-Cardis Alea,Lesley v.d. Besthmerberg, Male, 1980 
Åvangardangelface�hdedy,Sankt-Cardis Alea,Lesley v.d. Besthmerberg, Male, 1980 
Aamut�hti,Imago's One Pretty Finn,Imago's Xmas Party, Female, 2010 
Aaron aus dem Feenring,Audrey from the Stone of Scone,Gowerston Graduate, Male, 2012 
Aasteds Always Add Bubbly Blue,Aasteds Merry Marimekko,Trafox Blue Of Diamonds, Male, 2014 
Aasteds Angel Eyes,Vistruphus Haldora,Hova Bonde's Leroy Jethro Gibbs, Male, 2018 
Aasteds Arthur Pendragon,Bobass Aya,Georgeous George Controversia, Male, 2010 
Aasteds Big Love,Vistruphus Haldora,Rhiwelli Enigma, Male, 2017 
Aasteds Black Knight,Bobass Aya,Georgeous George Controversia, Male, 2009 
Aasteds Cant Buy Me Love,Bobass Aya,Georgeous George Controversia, Male, 2010 
Aasteds Captain Hook,Bobass Aya,Georgeous George Controversia, Male, 2009 
Aasteds Casino Royale,Avonaire Kindred Spirit,Nickname's Bluecamouflage To Cardax, Male, 2013 
